term,value
m1,-0.20107436
m2,-0.32723022
m3,-0.02915705
m4,0.03678377
m5,0.029372193
m6,-0.16791354
m7,-0.087948635
m1.2,-0.063443854
m2.3,0.34573013
m3.4,0.030843072
m4.5,-0.21677825
m5.6,0.16126987
m6.7,-0.012773361
m1.2.3,-0.14773026
m2.3.4,-0.3581415
m3.4.5,-0.0959052
m4.5.6,-0.062822826
m5.6.7,-0.13261436
m1.2.3.4,0.22832355
m2.3.4.5,-0.09535998
m3.4.5.6,-0.21978115
m4.5.6.7,0.19919616
m1.2.3.4.5,0.19625972
m2.3.4.5.6,0.23555866
m3.4.5.6.7,0.15006734
m1.2.3.4.5.6,-0.024239194
m2.3.4.5.6.7,-0.071483865
m1.2.3.4.5.6.7,-0.04531767
