term,value
m1,-0.026718233
m2,-0.18765153
m3,-0.078676
m4,-0.3817555
m5,0.05783625
m6,0.058240242
m7,-0.33298314
m8,-0.04951065
m9,-0.0032549426
m10,0.046359308
m11,-0.20925295
m12,-0.23885736
m13,-0.00829044
m14,-0.01916163
m15,0.19105414
m16,-0.10816856
m17,0.11917846
m18,0.022854166
m19,0.037246294
m20,-0.1570091
m21,0.14127281
m22,0.07983947
m23,-0.18613154
m24,-0.032660984
m25,0.046588197
m1.2,0.57187974
m2.3,-0.20034859
m3.4,0.11359553
m4.5,-0.06727435
m5.6,-0.3679405
m6.7,-0.29757845
m7.8,-0.08496647
m8.9,0.07362026
m9.10,0.21706562
m10.11,0.05973199
m11.12,0.029605672
m12.13,-0.016660176
m13.14,-0.19781177
m14.15,-0.2752874
m15.16,-0.31088734
m16.17,0.017154526
m17.18,0.022126615
m18.19,-0.2622274
m19.20,0.036969714
m20.21,-0.20636165
m21.22,-0.3075392
m22.23,-0.16656363
m23.24,0.11496529
m24.25,-0.15428817
m1.2.3,-0.26799244
m2.3.4,0.5389905
m3.4.5,0.56116784
m4.5.6,0.03891842
m5.6.7,-0.17603606
m6.7.8,0.30667737
m7.8.9,0.7743747
m8.9.10,-0.02309255
m9.10.11,-0.41768363
m10.11.12,-0.24418813
m11.12.13,-0.7400885
m12.13.14,0.4089043
m13.14.15,0.046282895
m14.15.16,0.80672973
m15.16.17,-0.10200879
m16.17.18,0.38715634
m17.18.19,0.45754948
m18.19.20,0.43722448
m19.20.21,-0.48942143
m20.21.22,0.009215333
m21.22.23,0.27227896
m22.23.24,0.09118285
m23.24.25,0.4235708
m1.2.3.4,0.08209926
m2.3.4.5,-0.33524987
m3.4.5.6,-0.17446773
m4.5.6.7,1.7147689
m5.6.7.8,0.0013538413
m6.7.8.9,0.0035982803
m7.8.9.10,-0.7982875
m8.9.10.11,0.26552594
m9.10.11.12,0.0471064
m10.11.12.13,0.57602847
m11.12.13.14,0.8579918
m12.13.14.15,-0.032018736
m13.14.15.16,-0.4464556
m14.15.16.17,0.17964733
m15.16.17.18,0.5127728
m16.17.18.19,-0.39875966
m17.18.19.20,-0.68390554
m18.19.20.21,0.8298656
m19.20.21.22,0.5262188
m20.21.22.23,-0.38062087
m21.22.23.24,-0.49870092
m22.23.24.25,-0.59377074
m1.2.3.4.5,-0.42816123
m2.3.4.5.6,-0.020226847
m3.4.5.6.7,-0.372086
m4.5.6.7.8,-0.4698748
m5.6.7.8.9,-0.3377818
m6.7.8.9.10,-0.24981245
m7.8.9.10.11,-0.46376222
m8.9.10.11.12,0.1814856
m9.10.11.12.13,-0.49684334
m10.11.12.13.14,0.23244342
m11.12.13.14.15,0.34667695
m12.13.14.15.16,0.24606304
m13.14.15.16.17,-0.0639929
m14.15.16.17.18,-0.005234521
m15.16.17.18.19,-0.273306
m16.17.18.19.20,-0.33173013
m17.18.19.20.21,-0.5361504
m18.19.20.21.22,-0.5628697
m19.20.21.22.23,0.00723926
m20.21.22.23.24,0.4626726
m21.22.23.24.25,0.48063886
m1.2.3.4.5.6,-0.24236904
m2.3.4.5.6.7,0.07793305
m3.4.5.6.7.8,-0.23730806
m4.5.6.7.8.9,-0.8085125
m5.6.7.8.9.10,0.022784472
m6.7.8.9.10.11,0.99171215
m7.8.9.10.11.12,0.025984824
m8.9.10.11.12.13,-0.54856145
m9.10.11.12.13.14,-0.33143604
m10.11.12.13.14.15,-0.30062774
m11.12.13.14.15.16,-0.5588938
m12.13.14.15.16.17,-0.23719642
m13.14.15.16.17.18,-0.7168875
m14.15.16.17.18.19,-0.30061
m15.16.17.18.19.20,0.23283255
m16.17.18.19.20.21,0.48710316
m17.18.19.20.21.22,0.14241385
m18.19.20.21.22.23,-0.14878663
m19.20.21.22.23.24,-0.18230018
m20.21.22.23.24.25,0.06842849
m1.2.3.4.5.6.7,-0.006673608
m2.3.4.5.6.7.8,0.21301648
m3.4.5.6.7.8.9,-0.29612267
m4.5.6.7.8.9.10,0.48262304
m5.6.7.8.9.10.11,0.10310042
m6.7.8.9.10.11.12,0.21230264
m7.8.9.10.11.12.13,0.2265611
m8.9.10.11.12.13.14,0.49513865
m9.10.11.12.13.14.15,0.06652854
m10.11.12.13.14.15.16,0.054820895
m11.12.13.14.15.16.17,-0.44164592
m12.13.14.15.16.17.18,0.04065358
m13.14.15.16.17.18.19,-0.080690674
m14.15.16.17.18.19.20,-0.11093118
m15.16.17.18.19.20.21,0.3005175
m16.17.18.19.20.21.22,-0.44232333
m17.18.19.20.21.22.23,0.5543606
m18.19.20.21.22.23.24,-0.24265854
m19.20.21.22.23.24.25,0.09706698
m1.2.3.4.5.6.7.8,0.12855268
m2.3.4.5.6.7.8.9,0.15444723
m3.4.5.6.7.8.9.10,0.06412695
m4.5.6.7.8.9.10.11,-0.36848593
m5.6.7.8.9.10.11.12,0.14488418
m6.7.8.9.10.11.12.13,-0.5189985
m7.8.9.10.11.12.13.14,-0.04793241
m8.9.10.11.12.13.14.15,0.23184155
m9.10.11.12.13.14.15.16,-0.14241278
m10.11.12.13.14.15.16.17,0.17185141
m11.12.13.14.15.16.17.18,-0.5080453
m12.13.14.15.16.17.18.19,0.33250248
m13.14.15.16.17.18.19.20,0.5659835
m14.15.16.17.18.19.20.21,-0.04175771
m15.16.17.18.19.20.21.22,0.3025663
m16.17.18.19.20.21.22.23,0.11276926
m17.18.19.20.21.22.23.24,-0.18845502
m18.19.20.21.22.23.24.25,0.036874294
m1.2.3.4.5.6.7.8.9,0.0690603
m2.3.4.5.6.7.8.9.10,0.20585069
m3.4.5.6.7.8.9.10.11,0.14420111
m4.5.6.7.8.9.10.11.12,-0.32809466
m5.6.7.8.9.10.11.12.13,0.36255765
m6.7.8.9.10.11.12.13.14,0.13859834
m7.8.9.10.11.12.13.14.15,-0.025928922
m8.9.10.11.12.13.14.15.16,0.10557608
m9.10.11.12.13.14.15.16.17,0.07073864
m10.11.12.13.14.15.16.17.18,0.105765864
m11.12.13.14.15.16.17.18.19,0.5231429
m12.13.14.15.16.17.18.19.20,0.35020036
m13.14.15.16.17.18.19.20.21,0.1502336
m14.15.16.17.18.19.20.21.22,-0.04074671
m15.16.17.18.19.20.21.22.23,-0.07321337
m16.17.18.19.20.21.22.23.24,0.57462955
m17.18.19.20.21.22.23.24.25,0.09012672
m1.2.3.4.5.6.7.8.9.10,0.1203475
m2.3.4.5.6.7.8.9.10.11,-0.18865076
m3.4.5.6.7.8.9.10.11.12,-0.56123227
m4.5.6.7.8.9.10.11.12.13,0.4280812
m5.6.7.8.9.10.11.12.13.14,0.08830547
m6.7.8.9.10.11.12.13.14.15,0.16016626
m7.8.9.10.11.12.13.14.15.16,-0.014876343
m8.9.10.11.12.13.14.15.16.17,0.31859994
m9.10.11.12.13.14.15.16.17.18,0.15675119
m10.11.12.13.14.15.16.17.18.19,0.010803249
m11.12.13.14.15.16.17.18.19.20,0.5402605
m12.13.14.15.16.17.18.19.20.21,-1.2857337
m13.14.15.16.17.18.19.20.21.22,0.15069081
m14.15.16.17.18.19.20.21.22.23,-0.41671538
m15.16.17.18.19.20.21.22.23.24,0.3889822
m16.17.18.19.20.21.22.23.24.25,-0.31217778
m1.2.3.4.5.6.7.8.9.10.11,0.15698269
m2.3.4.5.6.7.8.9.10.11.12,0.036738258
m3.4.5.6.7.8.9.10.11.12.13,0.19363931
m4.5.6.7.8.9.10.11.12.13.14,0.15419362
m5.6.7.8.9.10.11.12.13.14.15,0.109968595
m6.7.8.9.10.11.12.13.14.15.16,-0.2162792
m7.8.9.10.11.12.13.14.15.16.17,-0.24955922
m8.9.10.11.12.13.14.15.16.17.18,0.40428865
m9.10.11.12.13.14.15.16.17.18.19,0.06222658
m10.11.12.13.14.15.16.17.18.19.20,-0.5139101
m11.12.13.14.15.16.17.18.19.20.21,0.397421
m12.13.14.15.16.17.18.19.20.21.22,0.5669502
m13.14.15.16.17.18.19.20.21.22.23,-0.22428262
m14.15.16.17.18.19.20.21.22.23.24,-0.46407717
m15.16.17.18.19.20.21.22.23.24.25,-0.16214903
m1.2.3.4.5.6.7.8.9.10.11.12,0.38199562
m2.3.4.5.6.7.8.9.10.11.12.13,-0.1395833
m3.4.5.6.7.8.9.10.11.12.13.14,-0.080173835
m4.5.6.7.8.9.10.11.12.13.14.15,0.17562877
m5.6.7.8.9.10.11.12.13.14.15.16,-0.26601225
m6.7.8.9.10.11.12.13.14.15.16.17,0.06708907
m7.8.9.10.11.12.13.14.15.16.17.18,-0.16461003
m8.9.10.11.12.13.14.15.16.17.18.19,0.31003386
m9.10.11.12.13.14.15.16.17.18.19.20,0.46871975
m10.11.12.13.14.15.16.17.18.19.20.21,-0.65772164
m11.12.13.14.15.16.17.18.19.20.21.22,0.17073938
m12.13.14.15.16.17.18.19.20.21.22.23,0.1922921
m13.14.15.16.17.18.19.20.21.22.23.24,0.48906612
m14.15.16.17.18.19.20.21.22.23.24.25,0.0023001973
m1.2.3.4.5.6.7.8.9.10.11.12.13,-0.0035534129
m2.3.4.5.6.7.8.9.10.11.12.13.14,-0.4134107
m3.4.5.6.7.8.9.10.11.12.13.14.15,-0.058455206
m4.5.6.7.8.9.10.11.12.13.14.15.16,-0.20153674
m5.6.7.8.9.10.11.12.13.14.15.16.17,0.017428823
m6.7.8.9.10.11.12.13.14.15.16.17.18,0.15271693
m7.8.9.10.11.12.13.14.15.16.17.18.19,0.1055266
m8.9.10.11.12.13.14.15.16.17.18.19.20,-0.21539484
m9.10.11.12.13.14.15.16.17.18.19.20.21,0.32427856
m10.11.12.13.14.15.16.17.18.19.20.21.22,-0.23561019
m11.12.13.14.15.16.17.18.19.20.21.22.23,-0.20472038
m12.13.14.15.16.17.18.19.20.21.22.23.24,-0.3602426
m13.14.15.16.17.18.19.20.21.22.23.24.25,0.024110232
m1.2.3.4.5.6.7.8.9.10.11.12.13.14,-0.27849528
