term,value
m1,0.040261462
m2,-0.07398403
m3,-0.022343267
m4,-0.017032461
m5,0.0015459303
m6,0.028170953
m7,0.039897673
m8,-0.00075408444
m9,0.0028070323
m10,-0.053452507
m11,-0.01766491
m12,-0.67000836
m13,-0.10058179
m14,-0.0018076003
m15,-0.049565036
m16,-0.005334638
m17,0.03120403
m18,0.019083805
m19,0.013599768
m20,0.027503341
m21,0.0012660027
m22,-0.14854065
m23,-0.01243186
m24,-0.03909852
m25,-0.026910651
m26,0.030133065
m27,0.062554315
m1.2,0.013562143
m2.3,0.05110579
m3.4,-0.020117015
m4.5,-0.41163814
m5.6,0.065792724
m6.7,-0.046105687
m7.8,-0.20993635
m8.9,0.14064075
m9.10,0.09841208
m10.11,0.086427286
m11.12,0.5338804
m12.13,0.11992673
m13.14,0.12828028
m14.15,0.37759554
m15.16,0.08151697
m16.17,0.08581249
m17.18,-0.018676613
m18.19,0.11672928
m19.20,-0.097190514
m20.21,-0.13018766
m21.22,0.2711866
m22.23,-0.026606098
m23.24,0.0897754
m24.25,-0.058072813
m25.26,0.3909429
m26.27,-0.13894795
m1.2.3,0.12762043
m2.3.4,-0.023371413
m3.4.5,0.67472446
m4.5.6,0.50132763
m5.6.7,0.17949267
m6.7.8,0.2959966
m7.8.9,0.4577521
m8.9.10,-0.41342166
m9.10.11,-0.4143093
m10.11.12,-0.5923686
m11.12.13,-0.85537463
m12.13.14,-0.38790032
m13.14.15,-0.29240465
m14.15.16,-0.4419514
m15.16.17,-0.27778068
m16.17.18,-0.21080393
m17.18.19,-0.024809035
m18.19.20,0.07999322
m19.20.21,0.57723284
m20.21.22,-0.42138398
m21.22.23,-0.26404935
m22.23.24,0.05749241
m23.24.25,-0.2628163
m24.25.26,-0.44610864
m25.26.27,-0.7917344
m1.2.3.4,0.034837417
m2.3.4.5,-0.08351563
m3.4.5.6,-0.0007619113
m4.5.6.7,-0.3508895
m5.6.7.8,-1.0625325
m6.7.8.9,-0.059612643
m7.8.9.10,-0.3041367
m8.9.10.11,0.23878644
m9.10.11.12,0.02934866
m10.11.12.13,0.8097754
m11.12.13.14,0.4361447
