term,value
m1,-0.021344943
m2,0.00016904576
m3,-0.026921164
m4,-0.011275377
m5,0.003490313
m6,-0.05259974
m7,-0.041856308
m8,-0.047737274
m9,-0.0025263673
m10,0.003436258
m11,-0.0150394
m12,0.007484087
m13,-0.057918686
m14,0.066708736
m15,0.13260695
m16,-0.001273457
m17,-0.02790974
m18,-0.03185018
m19,-0.018068
m20,0.09004163
m21,-0.041740227
m22,0.10034582
m23,-0.012638461
m24,-0.0017550997
m25,-0.05387321
m26,-0.026154552
m27,-0.015134547
m28,-0.02326337
m29,0.000424508
m30,-0.04469549
m31,-0.017500672
m32,0.028527122
m33,0.013859674
m34,-0.031670373
m1.2,-0.004045423
m2.3,0.04736773
m3.4,0.022641666
m4.5,0.0034683421
m5.6,-0.024754798
m6.7,0.001036007
m7.8,-0.047369532
m8.9,0.009345362
m9.10,-0.022846729
m10.11,-0.023130653
m11.12,0.01883516
m12.13,0.017476298
m13.14,-0.059621472
m14.15,-0.082574755
m15.16,-0.0011694729
m16.17,-0.015236798
m17.18,0.029420927
m18.19,0.0060436656
m19.20,0.044966675
m20.21,-0.062210754
m21.22,0.09124859
m22.23,0.045719467
m23.24,-0.019413069
m24.25,-0.009706106
m25.26,0.109161526
m26.27,0.024787433
m27.28,-0.024368824
m28.29,-0.052320153
m29.30,0.048699565
m30.31,0.055342678
m31.32,-0.03853813
m32.33,-0.013867584
m33.34,-0.0599761
m1.2.3,-0.0007252861
m2.3.4,-0.06303628
m3.4.5,-0.016972452
m4.5.6,-0.09822865
m5.6.7,0.00033165142
m6.7.8,0.1803859
m7.8.9,0.08270757
m8.9.10,0.08596206
m9.10.11,0.045972735
m10.11.12,-0.006442981
m11.12.13,0.03883408
m12.13.14,-0.055289723
m13.14.15,0.14253192
m14.15.16,0.023658259
m15.16.17,0.03426126
m16.17.18,0.013277626
m17.18.19,-0.046459686
m18.19.20,-0.00070877885
m19.20.21,0.13213314
m20.21.22,-0.009488
m21.22.23,-0.08244639
m22.23.24,-0.04341303
