term,value
m1,-0.0076715844
m2,-0.063524
m3,0.028861541
m4,-0.030078473
m5,0.07524008
m6,-0.07973957
m7,0.051236685
m8,0.037902236
m9,-0.44172758
m10,-0.13998847
m11,-0.014624421
m12,-0.14494824
m13,0.4000582
m14,-0.0023533106
m15,0.0041432306
m16,-0.01979449
m1.2,0.0010324717
m2.3,-0.044269077
m3.4,-0.08411202
m4.5,0.11654894
m5.6,0.013041049
m6.7,-0.014792956
m7.8,-0.06507814
m8.9,-0.07939697
m9.10,0.105862066
m10.11,-0.026601948
m11.12,-0.018931046
m12.13,0.25163752
m13.14,0.029364184
m14.15,0.014607839
m15.16,-0.016420193
m1.2.3,0.08549723
m2.3.4,0.13628006
m3.4.5,-0.024338797
m4.5.6,-0.044413283
m5.6.7,-0.025233395
m6.7.8,-0.016311876
m7.8.9,-0.03345864
m8.9.10,0.15090396
m9.10.11,0.18448853
m10.11.12,0.05593332
m11.12.13,0.03511159
m12.13.14,-0.010567501
m13.14.15,0.041992836
m14.15.16,-0.014230342
m1.2.3.4,-0.048086986
m2.3.4.5,-0.021188028
m3.4.5.6,0.089613825
m4.5.6.7,-0.008433558
m5.6.7.8,0.00851918
m6.7.8.9,0.2551561
m7.8.9.10,0.01175864
m8.9.10.11,-0.108349405
m9.10.11.12,-0.17054558
m10.11.12.13,-0.12521772
m11.12.13.14,0.035889026
m12.13.14.15,-0.044319343
m13.14.15.16,0.050836317
m1.2.3.4.5,-0.00961763
m2.3.4.5.6,-0.088545896
m3.4.5.6.7,0.061108645
m4.5.6.7.8,-0.0029497407
m5.6.7.8.9,-0.09884761
m6.7.8.9.10,-0.19559476
m7.8.9.10.11,0.023147143
m8.9.10.11.12,0.095437385
m9.10.11.12.13,0.28008255
m10.11.12.13.14,-0.067803934
m11.12.13.14.15,-0.019003201
m12.13.14.15.16,0.01022676
m1.2.3.4.5.6,0.012620907
m2.3.4.5.6.7,0.05118057
m3.4.5.6.7.8,-0.07621038
m4.5.6.7.8.9,0.110580154
m5.6.7.8.9.10,0.11640335
m6.7.8.9.10.11,0.014211576
m7.8.9.10.11.12,0.016925164
m8.9.10.11.12.13,-0.06021698
m9.10.11.12.13.14,0.047176458
m10.11.12.13.14.15,-0.020114318
m11.12.13.14.15.16,0.009691033
m1.2.3.4.5.6.7,-0.13564885
m2.3.4.5.6.7.8,0.15015219
m3.4.5.6.7.8.9,-0.10932187
m4.5.6.7.8.9.10,-0.07571171
m5.6.7.8.9.10.11,0.108784184
m6.7.8.9.10.11.12,-0.15750828
m7.8.9.10.11.12.13,-0.07395241
m8.9.10.11.12.13.14,-0.043118194
m9.10.11.12.13.14.15,0.0046460405
m10.11.12.13.14.15.16,-0.019091114
m1.2.3.4.5.6.7.8,-0.011580013
m2.3.4.5.6.7.8.9,-0.07848494
m3.4.5.6.7.8.9.10,0.027153067
m4.5.6.7.8.9.10.11,-0.058946963
m5.6.7.8.9.10.11.12,-0.13355932
m6.7.8.9.10.11.12.13,0.3152917
m7.8.9.10.11.12.13.14,0.023043647
m8.9.10.11.12.13.14.15,0.039327074
m9.10.11.12.13.14.15.16,-0.007414638
m1.2.3.4.5.6.7.8.9,0.09082233
m2.3.4.5.6.7.8.9.10,0.07461382
m3.4.5.6.7.8.9.10.11,-0.21606588
m4.5.6.7.8.9.10.11.12,-0.0025255969
m5.6.7.8.9.10.11.12.13,-0.109299555
m6.7.8.9.10.11.12.13.14,-0.021273034
m7.8.9.10.11.12.13.14.15,-0.076452814
m8.9.10.11.12.13.14.15.16,-0.023056282
m1.2.3.4.5.6.7.8.9.10,0.028361466
m2.3.4.5.6.7.8.9.10.11,0.15206918
m3.4.5.6.7.8.9.10.11.12,0.3041364
m4.5.6.7.8.9.10.11.12.13,0.022387128
m5.6.7.8.9.10.11.12.13.14,0.02021962
m6.7.8.9.10.11.12.13.14.15,0.030757945
m7.8.9.10.11.12.13.14.15.16,0.07319999
m1.2.3.4.5.6.7.8.9.10.11,-0.16949087
m2.3.4.5.6.7.8.9.10.11.12,-0.25493854
m3.4.5.6.7.8.9.10.11.12.13,-0.027385334
m4.5.6.7.8.9.10.11.12.13.14,0.0038642045
m5.6.7.8.9.10.11.12.13.14.15,0.004602736
m6.7.8.9.10.11.12.13.14.15.16,-0.03847586
m1.2.3.4.5.6.7.8.9.10.11.12,0.12580119
m2.3.4.5.6.7.8.9.10.11.12.13,-0.0070753824
m3.4.5.6.7.8.9.10.11.12.13.14,-0.02279623
m4.5.6.7.8.9.10.11.12.13.14.15,0.022778124
m5.6.7.8.9.10.11.12.13.14.15.16,0.0111475885
m1.2.3.4.5.6.7.8.9.10.11.12.13,0.021567779
m2.3.4.5.6.7.8.9.10.11.12.13.14,-0.0038287668
m3.4.5.6.7.8.9.10.11.12.13.14.15,-0.012783054
m4.5.6.7.8.9.10.11.12.13.14.15.16,-0.0510635
m1.2.3.4.5.6.7.8.9.10.11.12.13.14,0.006205237
m2.3.4.5.6.7.8.9.10.11.12.13.14.15,-0.010123003
m3.4.5.6.7.8.9.10.11.12.13.14.15.16,0.03078273
m1.2.3.4.5.6.7.8.9.10.11.12.13.14.15,0.010159293
m2.3.4.5.6.7.8.9.10.11.12.13.14.15.16,0.00385434
m1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16,6.460678e-05
