term,value
m1,-0.048047192
m2,0.062941216
m3,-0.033015274
m4,0.08632176
m5,0.04865033
m6,-0.25110403
m7,0.021525722
m8,-0.0962604
m9,0.018825922
m10,-0.13072507
m11,-0.054548483
m12,-0.122895405
m13,-0.10367893
m1.2,0.13857235
m2.3,0.119659916
m3.4,0.068281695
m4.5,-0.07456716
m5.6,0.16896988
m6.7,0.030687831
m7.8,0.11295867
m8.9,-0.1454833
m9.10,0.069144726
m10.11,0.12212981
m11.12,0.0460001
m12.13,-0.15891394
m1.2.3,-0.20821877
m2.3.4,-0.032147557
m3.4.5,0.07472872
m4.5.6,0.03043452
m5.6.7,-0.029233653
m6.7.8,-0.02338709
m7.8.9,0.03352444
m8.9.10,-0.047206126
m9.10.11,-0.08890039
m10.11.12,0.07144946
m11.12.13,0.1745118
m1.2.3.4,0.12797265
m2.3.4.5,-0.1984225
m3.4.5.6,-0.14666265
m4.5.6.7,-0.016031705
m5.6.7.8,3.7250469
m6.7.8.9,0.33192116
m7.8.9.10,0.16803809
m8.9.10.11,0.16915625
m9.10.11.12,-0.0031644404
m10.11.12.13,-0.23609228
m1.2.3.4.5,0.1640917
m2.3.4.5.6,0.35643852
m3.4.5.6.7,2.7332056
m4.5.6.7.8,-3.7843099
m5.6.7.8.9,-3.9171565
m6.7.8.9.10,-0.3679697
m7.8.9.10.11,-0.2964654
m8.9.10.11.12,-0.09869015
m9.10.11.12.13,0.04949197
m1.2.3.4.5.6,-0.18954533
m2.3.4.5.6.7,-2.747004
m3.4.5.6.7.8,-2.6310031
m4.5.6.7.8.9,3.723907
m5.6.7.8.9.10,-0.040423114
m6.7.8.9.10.11,0.052899867
m7.8.9.10.11.12,0.030596111
m8.9.10.11.12.13,0.069769934
m1.2.3.4.5.6.7,-0.03077995
m2.3.4.5.6.7.8,2.5019925
m3.4.5.6.7.8.9,-9.905543
m4.5.6.7.8.9.10,0.1637169
m5.6.7.8.9.10.11,-0.026450709
m6.7.8.9.10.11.12,9.528419
m7.8.9.10.11.12.13,0.12272953
m1.2.3.4.5.6.7.8,0.16865453
m2.3.4.5.6.7.8.9,9.875541
m3.4.5.6.7.8.9.10,-13.522205
m4.5.6.7.8.9.10.11,6.109336
m5.6.7.8.9.10.11.12,-9.089043
m6.7.8.9.10.11.12.13,-9.601601
m1.2.3.4.5.6.7.8.9,-0.13057278
m2.3.4.5.6.7.8.9.10,1.7543566
m3.4.5.6.7.8.9.10.11,-14.182631
m4.5.6.7.8.9.10.11.12,-6.442873
m5.6.7.8.9.10.11.12.13,9.061879
m1.2.3.4.5.6.7.8.9.10,12.120745
m2.3.4.5.6.7.8.9.10.11,-3.664794
m3.4.5.6.7.8.9.10.11.12,23.616638
m4.5.6.7.8.9.10.11.12.13,0.23532987
m1.2.3.4.5.6.7.8.9.10.11,11.589308
m2.3.4.5.6.7.8.9.10.11.12,3.7156522
m3.4.5.6.7.8.9.10.11.12.13,14.050616
m1.2.3.4.5.6.7.8.9.10.11.12,-21.258932
m2.3.4.5.6.7.8.9.10.11.12.13,-11.351236
m1.2.3.4.5.6.7.8.9.10.11.12.13,-2.4883053
